"treeID"	"discID"	"height_m"	"areaHWLogyard_cm2"	"areaUBLogyard_cm2"	"incompleteAreaUBLogyard"	"airDryDensity_kgpm3"	"nbRings"	"nbRingsHW"	"ringWidth_mm"	"imageNameLogyard"	"pixelWidthLogyard_mm"	"pithX_pixel"	"pithY_pixel"
"B12"	"B12d"	12	507.100137363175	955.34766270239	0	559.960852984133	39	23.5	4.76375911381729	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B12d.jpeg"	0.155030395259295	1807.667	2361.667
"B13"	"B13a"	0	946.381014167019	1696.94665681833	0	670.711053392262	52	34	5.08526324466147	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B13a.jpeg"	0.242430824788455	1047.333	1916.667
"B13"	"B13b"	4	535.502352365184	1099.66052794226	0	588.646287508272	46	26	4.28645287988446	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B13b.jpeg"	0.17535270442969	1218.667	2013.333
"B13"	"B13c"	8	486.532355948555	937.741076660248	0	550.057548147033	41	22.5	4.58729114692714	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B13c.jpeg"	0.170927665463108	1164.667	2038.667
"B13"	"B13d"	12	369.860853268393	781.058955422911	0	539.936832617117	36	18.25	4.54056980719347	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B13d.jpeg"	0.146740741392922	1652	1908.667
"C01"	"C01a"	0	2384.33825954267	3933.18442742532	0	599.547508924506	53	35.5	7.22529876647146	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C01a.jpeg"	0.315362704954222	1324	2205
"C01"	"C01b"	4	1563.23868520642	2827.28014226876	0	589.475087572471	48	29.25	6.57290190956809	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C01b.jpeg"	0.245679480653232	1335	1752
"C01"	"C01c"	8	1403.00209470728	2487.03407765848	0	562.048585727814	43	26	6.91167008980954	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C01c.jpeg"	0.20765602858676	1380	1898
"C01"	"C01d"	12	1094.26896258866	2051.55483777753	0	526.192445560563	38	23	6.99712199421089	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C01d.jpeg"	0.253969027969101	1367	2079
"C02"	"C02a"	0	1703.0980650957	2763.59522946694	0	638.042743887687	51	33.75	5.99530418834156	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C02a.jpeg"	0.240583559481879	1355	1671
"C02"	"C02b"	4	1243.48642998766	2017.44860313804	0	588.620938350328	47	31	5.73749458981668	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C02b.jpeg"	0.215361661144794	1374	2268
"C02"	"C02c"	8	1295.62197177184	1911.79517099484	0	587.849131088886	44	29	5.85385492762573	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C02c.jpeg"	0.176295796138593	1389	1828
"C02"	"C02d"	12	975.971446927377	1527.26789332132	0	572.313820967594	39	24.5	5.81693323802961	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C02d.jpeg"	0.221358628426521	1249	2326
"C03"	"C03a"	0	2086.80219951092	2984.23624896456	0	560.390203742949	52	40.5	6.23739389174223	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C03a.jpeg"	0.265550081683205	1241	1920
"C03"	"C03b"	4	1218.94714939747	1804.64973709962	0	513.138069497903	45	32.5	5.67021120388532	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C03b.jpeg"	0.253127645183892	1189	1727
"C03"	"C03c"	8	1121.27552212244	1680.34946026943	0	520.313815365605	42	31	5.686272532891	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C03c.jpeg"	0.185758559940201	1253	1772
"C03"	"C03d"	12	1038.66864527497	1413.36000146156	0	504.259135754403	38	26.75	5.79994424157098	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C03d.jpeg"	0.195686597738019	1008	2813
"C04"	"C04a"	0	1833.22023709326	3036.47769376036	0	586.846126783724	51	33.75	6.63106651905431	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C04a.jpeg"	0.238724789468608	1583	1840
