nomImage;mireTrouvee;nombreCarresMire;nombreCarresDetectes;moyenneLongueurCote_Pixels;medianeLongueurCote_Pixels;minLongueurCote_Pixels;maxLongueurCote_Pixels;ecartTypeLongueurCote_Pixels;nombreCarresDetectesSansExtremes;moyenneLongueurCoteSansExtremes_Pixels;medianeLongueurCoteSansExtremes_Pixels;minLongueurCoteSansExtremes_Pixels;maxLongueurCoteSansExtremes_Pixels;ecartTypeLongueurCoteSansExtremes_Pixels 
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D10c.jpeg;Oui;0;25;49.4;50;0;51;6.97225;40;50.275;50;47;50;1.01242
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D10d.jpeg;Oui;0;25;47.36;48;0;50;6.84153;40;48.225;48;44;49;1.59305
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D11a.jpeg;Oui;0;32;18.8438;22;0;22;6.14176;52;20;22;4;20;4.54175
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D11b.jpeg;Oui;0;25;36.72;37;0;37;5.07913;40;37.4;37;34;36;0.632456
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D11c.jpeg;Oui;0;25;42.62;44;0;45;6.05718;40;43.35;44;39;43;1.12204
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D11d.jpeg;Oui;0;25;43.36;44;0;44;6.08028;40;44.2;44;40;44;0.882886
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D12a.jpeg;Oui;0;25;43.56;44;0;44;6.03784;40;44.425;44;42;43;0.500641
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D12b.jpeg;Oui;0;25;48.86;50;0;49;6.79739;40;49.75;50;47;49;0.588348
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D12c.jpeg;Oui;0;25;55.54;57;0;56;7.78332;40;56.625;57;53;56;0.774183
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D12d.jpeg;Oui;0;25;63.06;65;0;63;8.85117;40;64.35;65;61;63;0.80224
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D13a.jpeg;Oui;0;25;33.4;34;0;34;4.61143;40;34;34;31;33;0.679366
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D13b.jpeg;Oui;0;25;38.36;39;0;39;5.33667;40;39.05;39;36;38;0.714322
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D13c.jpeg;Oui;0;25;49.52;50;0;51;6.9788;40;50.425;50;47;50;1.12973
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D13d.jpeg;Oui;0;25;40.12;41;0;41;5.62298;40;40.875;41;37;40;0.852974
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A01a.jpeg;Oui;0;25;30.58;31;0;30;4.1605;40;31.175;31;29;30;0.384808
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A01b.jpeg;Oui;0;25;27.3;28;0;27;3.69362;40;27.875;28;25;26;0.334932
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A01c.jpeg;Oui;0;25;32.84;34;0;34;4.5864;40;33.425;34;30;33;0.780779
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A01d.jpeg;Oui;0;25;32.86;34;0;33;4.53112;40;33.5;34;30;32;0.5547
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A02a.jpeg;Oui;0;25;25.62;26;0;25;3.48694;40;26.1;26;23;25;0.671775
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A02b.jpeg;Oui;0;25;32.18;33;0;32;4.43405;40;32.825;33;29;32;0.594311
